시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"52,727","52,401",183,13,51,79,"33,915","6,121","6,733",693,"10,440","1,035",197,82,56,"1,022","1,054",40,225,"16,595",284
서울,상급종합병원,"22,931","22,809",104,1,0,17,631,"2,261","2,024",30,148,322,126,30,16,212,45,37,36,"6,999",113
서울,종합병원,"14,164","14,109",42,1,3,9,"1,793","1,431","1,294",20,179,288,49,37,10,166,96,3,23,"4,725",46
서울,병원,"6,031","5,945",3,1,44,38,"3,176",556,858,9,65,154,5,2,10,273,382,0,63,"2,523",73
서울,요양병원,"3,073","3,071",2,0,0,0,"1,590",32,124,0,7,141,0,0,4,245,299,0,0,508,4
서울,의원,"4,722","4,668",32,10,4,8,"17,192","1,670","2,223",0,6,95,17,9,14,56,150,0,103,736,44
서울,치과병원,46,46,-,-,-,-,89,7,28,99,821,4,-,-,0,3,2,-,-,187,-
서울,치과의원,138,134,-,0,0,4,"4,241",2,8,535,"9,207",8,0,0,2,0,0,0,0,271,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,657,657,0,-,-,0,422,14,77,-,0,16,-,-,-,59,66,-,-,433,4
서울,한의원,303,300,0,0,0,3,"4,779",1,1,0,1,7,0,0,0,3,14,0,0,208,0
부산,계,"18,514","18,409",17,11,41,36,"18,048","1,886","2,022",300,"2,581",525,95,25,18,707,974,7,165,"5,358",155
부산,상급종합병원,"4,570","4,559",6,1,0,4,255,406,374,3,41,68,23,10,3,24,22,6,5,774,15
부산,종합병원,"6,422","6,407",3,1,5,6,"1,381",610,497,3,85,105,67,13,5,83,87,1,9,"2,139",34
부산,병원,"3,389","3,348",0,0,29,12,"2,814",340,417,1,11,83,1,0,3,203,279,0,62,"1,414",12
부산,요양병원,"3,085","3,076",5,0,-,4,"4,901",65,157,-,1,205,-,-,4,358,483,-,-,506,90
부산,의원,617,602,3,0,5,7,"5,357",412,522,2,0,33,4,2,2,25,86,0,89,179,4
부산,치과병원,4,3,-,-,1,-,41,0,5,62,381,3,-,-,-,-,0,-,-,143,-
부산,치과의원,33,32,-,-,1,-,"1,555",1,5,229,"2,053",18,-,-,-,-,-,-,-,123,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,약국,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
부산,한방병원,133,133,-,-,-,-,129,3,13,-,-,5,-,-,-,13,15,-,-,21,-
부산,한의원,58,58,-,0,0,0,"1,601",-,-,-,-,3,-,-,-,-,2,-,-,59,-
인천,계,"11,639","11,562",53,0,21,3,"11,028","1,263","1,389",85,"1,755",247,24,10,6,346,493,2,74,"4,238",98
인천,상급종합병원,"4,065","4,045",7,-,13,0,272,316,285,7,35,51,17,7,1,24,6,2,10,569,15
인천,종합병원,"3,638","3,624",8,0,4,2,"1,085",379,305,2,46,59,4,2,1,52,59,0,8,"2,196",19
인천,병원,"1,727","1,723",0,0,4,0,"1,296",148,204,0,8,34,0,0,0,90,127,0,42,649,49
인천,요양병원,"1,334","1,314",20,0,0,0,"1,364",15,71,0,0,78,0,0,0,134,178,0,0,399,8
인천,의원,537,519,18,0,0,0,"4,088",376,475,0,7,11,3,1,2,12,68,0,14,121,6
인천,치과병원,1,1,0,-,-,-,15,-,1,5,137,0,-,-,1,1,1,-,-,47,-
인천,치과의원,23,23,-,-,-,-,"1,557",1,4,71,"1,505",5,-,-,1,-,-,-,-,101,-
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,24,24,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,131,131,-,-,-,0,241,3,28,-,-,5,-,-,-,32,49,-,0,120,1
인천,한의원,55,55,-,0,0,0,"1,064",-,-,-,-,4,-,-,-,-,5,-,-,36,-
대구,계,"12,557","12,524",16,1,1,15,"9,923","1,473","1,585",196,"2,281",250,69,17,11,373,611,26,48,"5,816",126
대구,상급종합병원,"4,614","4,606",8,0,0,0,600,476,389,6,21,50,42,13,4,34,62,24,1,"3,084",33
대구,종합병원,"2,115","2,109",5,1,-,0,487,158,155,1,31,36,21,2,1,33,37,2,2,759,9
대구,병원,"3,477","3,467",0,0,1,9,"1,659",260,367,0,6,70,2,2,3,164,272,-,14,"1,263",73
대구,요양병원,"1,255","1,253",-,-,-,2,"1,330",39,64,-,-,65,-,-,1,129,180,-,-,309,6
대구,의원,884,881,3,0,0,-,"3,954",514,585,-,1,17,4,-,2,8,56,-,31,185,4
대구,치과병원,5,5,-,-,-,-,9,-,5,17,345,1,-,-,-,-,-,-,-,94,-
대구,치과의원,8,8,-,-,-,-,610,1,-,172,"1,862",4,-,-,-,-,-,-,-,55,-
대구,보건소,101,98,-,-,-,3,10,23,14,-,13,-,-,-,-,3,-,-,-,-,-
대구,보건지소,7,7,-,-,-,-,19,-,-,-,2,-,-,-,-,1,-,-,-,-,-
대구,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
대구,한방병원,56,56,-,-,-,-,25,1,6,-,-,3,-,-,-,1,4,-,-,8,-
대구,한의원,27,26,-,0,0,1,"1,220",1,0,0,0,4,0,0,0,0,0,0,0,57,1
광주,계,"8,949","8,904",10,1,1,33,"7,704",918,996,117,"1,775",179,14,6,13,452,636,6,61,"3,415",82
광주,상급종합병원,"1,884","1,882",0,0,0,2,98,122,126,4,6,29,5,5,3,14,14,6,0,290,4
광주,종합병원,"2,986","2,980",2,1,1,2,474,238,230,0,20,53,2,1,4,43,66,0,1,965,13
광주,병원,"1,816","1,816",0,0,-,0,"1,163",187,229,-,1,34,6,-,3,134,170,-,28,967,17
광주,요양병원,"1,305","1,285",0,-,-,20,"1,933",60,64,-,1,48,-,-,1,129,151,-,-,437,47
광주,의원,527,512,8,0,0,7,"2,258",292,249,-,2,6,1,-,2,6,32,-,32,82,1
광주,치과병원,10,10,-,-,-,-,31,1,7,17,203,2,-,-,-,0,2,-,-,16,-
광주,치과의원,16,16,-,-,-,-,413,-,2,96,"1,532",2,-,-,-,-,1,-,-,32,-
광주,보건소,70,68,-,-,-,2,29,12,7,-,10,1,-,-,-,-,-,-,-,-,-
광주,보건진료소,10,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
광주,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
광주,한방병원,299,299,0,0,0,0,614,6,82,0,0,4,0,0,0,126,197,0,0,591,0
광주,한의원,26,26,-,-,-,-,690,-,-,-,-,-,-,-,-,-,3,-,-,33,-
대전,계,"7,153","7,112",29,2,1,9,"7,482",886,"1,024",131,"1,511",273,11,10,5,229,373,5,49,"3,358",59
대전,상급종합병원,"1,299","1,296",2,-,-,1,133,123,114,1,2,27,2,1,0,14,16,5,4,657,10
대전,종합병원,"3,110","3,097",10,2,0,1,651,311,324,3,66,71,8,7,3,34,33,0,15,"1,807",17
대전,병원,"1,172","1,171",-,-,1,0,961,105,150,5,13,46,1,1,0,65,104,-,12,349,26
대전,요양병원,960,950,10,0,0,0,"1,170",24,50,-,-,66,-,-,1,95,156,-,-,164,1
대전,의원,382,371,7,-,-,4,"2,862",295,349,-,1,44,0,1,-,10,41,-,18,105,5
대전,치과병원,10,10,-,-,-,-,14,8,14,15,184,2,-,-,-,-,-,-,-,13,-
대전,치과의원,7,7,-,0,0,0,692,0,2,107,"1,237",5,0,0,0,0,2,0,0,115,0
대전,보건소,74,72,-,-,-,2,17,14,9,-,7,2,-,-,-,1,-,-,-,-,-
대전,보건지소,10,9,-,-,-,1,3,-,-,-,1,-,-,-,-,-,-,-,-,2,0
대전,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,한방병원,95,95,0,-,-,-,109,6,12,-,-,8,-,-,1,10,21,-,-,101,-
대전,한의원,26,26,-,-,0,0,870,-,0,-,-,2,-,-,-,-,-,-,-,45,-
울산,계,"4,612","4,605",0,0,3,4,"4,380",516,518,78,"1,141",105,3,3,2,163,237,4,14,"1,872",31
울산,종합병원,"2,738","2,738",0,0,-,0,232,239,193,1,28,36,2,2,0,26,23,1,3,699,6
울산,병원,842,838,0,-,3,1,693,105,105,-,-,15,-,-,2,51,72,3,4,731,23
