시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"57,563","57,259",168,13,43,80,"39,271","6,817","7,288",684,"10,769","1,174",313,70,59,"1,087","1,111",44,725,"27,689",296
서울,상급종합병원,"25,394","25,258",110,1,0,25,"1,019","2,580","2,201",31,150,392,157,27,16,233,49,42,37,"9,486",126
서울,종합병원,"15,515","15,473",32,1,1,8,"1,922","1,542","1,303",19,175,308,42,29,10,165,105,2,29,"6,140",51
서울,병원,"6,278","6,224",2,1,38,13,"3,189",570,882,9,63,162,50,2,10,263,356,0,65,"2,829",23
서울,요양병원,"3,170","3,170",0,0,0,0,"1,832",26,125,0,8,165,0,0,4,253,307,0,0,"1,361",3
서울,정신병원,213,192,-,-,-,21,101,7,7,-,3,2,-,-,-,20,19,-,-,69,39
서울,의원,"5,079","5,035",24,10,4,6,"21,727","1,918","2,556",0,8,102,48,8,16,71,163,0,594,"6,607",51
서울,치과병원,46,46,-,-,-,-,91,6,28,95,811,4,-,-,1,3,2,-,-,217,-
서울,치과의원,135,131,-,0,0,4,"4,083",2,5,530,"9,545",10,2,0,2,0,0,0,0,333,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
서울,한방병원,751,751,0,-,-,-,473,16,84,-,-,23,12,-,-,70,92,-,-,387,3
서울,한의원,320,317,0,0,0,3,"4,832",3,1,0,0,6,2,0,0,4,18,0,0,245,0
부산,계,"19,542","19,448",15,11,38,30,"18,401","1,970","2,187",315,"2,679",530,116,24,13,718,980,8,224,"8,526",150
부산,상급종합병원,"3,828","3,820",4,0,0,4,258,344,322,3,36,57,22,9,2,24,18,5,6,"1,490",13
부산,종합병원,"7,729","7,717",4,1,2,5,"1,441",706,572,3,90,112,62,13,5,82,87,3,8,"2,688",36
부산,병원,"3,624","3,595",0,0,29,0,"2,741",345,435,1,10,81,2,0,2,203,278,0,62,"1,576",1
부산,요양병원,"2,886","2,881",4,1,-,-,"4,521",55,144,-,1,210,-,-,1,331,428,-,-,"1,341",-
부산,정신병원,307,293,-,-,-,14,231,13,13,-,-,6,-,-,-,35,51,-,-,326,90
부산,의원,669,657,3,0,5,4,"5,832",449,637,2,0,32,11,2,2,21,85,0,148,719,10
부산,치과병원,6,5,-,-,1,-,45,0,4,62,366,3,-,-,-,-,0,-,-,127,-
부산,치과의원,30,29,-,-,1,-,"1,523",1,5,244,"2,167",19,2,-,-,-,-,-,-,148,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,한방병원,188,188,-,0,0,0,181,8,23,0,0,7,17,0,0,21,31,0,0,40,0
부산,한의원,72,72,-,0,0,0,"1,614",-,-,-,-,3,-,-,-,-,2,-,-,71,-
인천,계,"12,511","12,408",74,4,21,4,"11,952","1,331","1,471",85,"1,862",271,36,10,6,356,512,2,164,"6,205",81
인천,상급종합병원,"4,345","4,325",7,-,13,0,313,349,305,6,29,66,20,7,1,31,6,2,9,"1,146",15
인천,종합병원,"3,868","3,854",8,0,4,2,"1,098",392,316,0,43,62,4,2,1,50,66,0,64,"2,526",18
인천,병원,"1,757","1,752",1,0,4,0,"1,250",146,191,0,8,35,0,0,0,73,108,0,46,708,6
인천,요양병원,"1,306","1,281",25,0,0,0,"1,334",14,71,0,0,78,0,0,0,126,165,0,0,706,2
인천,정신병원,136,133,0,2,-,1,111,1,1,-,-,2,-,-,-,18,19,-,-,91,34
인천,의원,682,647,33,2,0,0,"4,800",400,525,0,4,14,11,1,2,12,70,0,45,627,6
인천,치과병원,1,1,0,-,-,-,13,-,1,5,136,-,-,-,1,1,1,-,-,50,-
인천,치과의원,22,22,-,-,-,-,"1,565",1,5,74,"1,625",3,-,-,1,-,-,-,-,135,-
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,25,25,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,194,194,-,-,-,-,310,3,40,-,-,7,-,-,-,44,71,-,0,155,0
인천,한의원,71,71,-,0,0,0,"1,112",-,-,-,-,4,1,-,-,-,6,-,-,61,-
대구,계,"13,832","13,799",27,1,1,4,"10,562","1,572","1,685",190,"2,404",250,98,17,10,378,598,26,62,"5,885",91
대구,상급종합병원,"5,401","5,393",8,0,0,0,730,514,401,6,24,48,44,13,4,31,61,24,1,"2,553",34
대구,종합병원,"2,276","2,270",5,1,-,0,518,172,174,1,30,36,29,2,1,33,34,2,3,886,8
대구,병원,"3,291","3,288",2,-,1,-,"1,484",230,344,0,5,59,2,2,2,128,219,-,27,"1,157",8
대구,요양병원,"1,402","1,395",7,0,0,0,"1,458",50,73,0,0,78,8,0,1,143,193,0,0,612,1
대구,정신병원,227,227,-,-,-,0,151,10,9,-,2,1,-,-,-,13,19,-,-,34,32
대구,의원,947,942,5,0,0,-,"4,189",569,646,-,1,17,7,-,2,15,58,-,31,405,7
대구,치과병원,5,5,-,-,-,-,9,-,5,14,335,1,-,-,-,-,-,-,-,81,-
대구,치과의원,9,9,-,-,-,-,605,0,-,169,"1,990",3,-,-,-,-,-,-,-,63,-
대구,보건소,101,98,-,-,-,3,10,23,14,-,13,-,-,-,-,3,-,-,-,-,-
대구,보건지소,7,7,-,-,-,-,17,-,-,-,2,-,-,-,-,1,-,-,-,-,-
대구,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
대구,한방병원,117,117,-,-,-,-,89,4,19,-,2,3,6,-,-,11,14,-,-,27,-
대구,한의원,41,40,-,0,0,1,"1,302",0,0,0,0,4,2,0,0,0,0,0,0,65,1
광주,계,"9,248","9,210",5,0,1,32,"7,650",943,"1,008",135,"1,972",166,51,6,13,448,621,5,58,"4,556",84
광주,상급종합병원,"2,168","2,166",0,0,0,2,98,122,126,4,6,29,5,5,3,14,14,5,0,290,4
광주,종합병원,"3,164","3,161",2,0,1,0,497,250,237,0,21,53,4,1,3,44,61,0,2,"1,205",15
광주,병원,"1,581","1,581",0,-,-,0,"1,101",161,203,-,-,24,13,-,3,129,172,-,19,985,6
광주,요양병원,"1,170","1,170",-,-,-,0,"1,721",50,60,-,1,43,10,-,-,118,132,-,-,968,-
광주,정신병원,114,94,-,-,-,20,67,4,5,-,-,3,-,-,-,12,14,-,-,73,52
광주,의원,586,575,3,0,0,8,"2,445",337,285,-,3,4,19,-,3,10,37,-,37,333,7
광주,치과병원,8,8,-,-,-,-,29,1,7,18,206,2,-,-,-,0,0,-,-,35,-
광주,치과의원,19,19,-,-,-,-,438,-,2,113,"1,725",3,-,-,-,-,1,-,-,87,-
광주,보건소,70,68,-,-,-,2,29,12,7,-,10,1,-,-,-,-,-,-,-,-,-
광주,보건진료소,10,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
광주,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
광주,한방병원,328,328,0,0,0,0,564,6,76,0,0,4,0,0,1,121,190,0,0,550,0
광주,한의원,30,30,-,-,-,-,660,-,-,-,-,-,-,-,-,-,0,-,-,28,-
대전,계,"7,894","7,848",30,2,1,13,"7,992",933,"1,084",139,"1,656",293,9,9,4,241,384,5,83,"3,957",65
대전,상급종합병원,"1,387","1,382",3,-,-,2,143,123,114,1,2,27,2,1,0,14,16,5,4,657,10
대전,종합병원,"3,521","3,508",10,2,0,1,673,329,339,3,74,69,6,6,2,35,34,0,23,"1,663",22
대전,병원,"1,299","1,298",-,-,1,0,"1,025",107,153,4,13,53,1,1,-,64,102,-,23,586,13
대전,요양병원,916,906,10,0,0,0,"1,163",21,47,-,-,72,-,-,1,95,145,-,-,305,0
대전,정신병원,42,42,-,-,-,0,44,2,2,-,-,2,-,-,-,5,9,-,-,63,14
대전,의원,445,431,7,0,0,7,"3,155",319,379,-,1,45,0,1,-,11,41,-,33,311,6
대전,치과병원,9,9,-,-,-,-,15,7,17,14,195,2,-,-,-,-,-,-,-,19,-
대전,치과의원,7,7,-,0,0,0,712,0,2,117,"1,363",6,0,0,0,0,2,0,0,175,0
대전,보건소,74,72,-,-,-,2,17,14,9,-,7,2,-,-,-,1,-,-,-,-,-
대전,보건지소,10,9,-,-,-,1,3,-,-,-,1,-,-,-,-,-,-,-,-,2,0
대전,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,한방병원,138,138,0,-,-,-,163,11,22,-,-,13,0,-,1,16,33,-,-,129,-
대전,한의원,38,38,-,-,-,-,879,-,0,-,-,2,-,-,-,-,2,-,-,47,-
울산,계,"4,861","4,845",0,0,12,4,"4,505",523,533,79,"1,186",110,3,3,2,164,217,4,36,"2,467",25
울산,상급종합병원,"1,377","1,377",-,-,-,-,35,96,78,1,8,14,1,1,0,9,3,1,3,385,6
울산,종합병원,"1,647","1,638",0,0,9,0,270,155,129,0,19,29,1,1,0,19,23,-,-,377,1
울산,병원,678,675,0,-,3,-,552,91,89,-,-,10,-,-,2,36,49,3,4,586,-
울산,요양병원,609,609,-,0,0,0,907,12,34,0,2,37,0,0,0,75,105,0,0,601,0
울산,정신병원,73,72,-,-,-,1,57,4,4,-,-,1,-,-,-,7,9,-,-,104,16
울산,의원,323,323,-,-,-,-,"1,763",146,181,-,0,9,1,1,-,9,24,-,29,245,2
울산,치과병원,1,1,-,-,-,-,6,1,1,6,150,-,-,-,-,-,-,-,-,24,-
울산,치과의원,9,9,-,0,0,0,416,0,0,72,992,8,0,0,0,0,0,0,0,80,0
울산,보건소,51,48,-,-,-,3,5,16,9,0,11,1,-,-,-,5,-,-,-,-,-
울산,보건지소,5,5,-,-,-,-,4,1,-,-,4,-,-,-,-,-,-,-,-,-,-
울산,보건진료소,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,한방병원,55,55,-,-,-,-,41,1,8,-,-,1,-,-,-,4,3,-,-,51,-
울산,한의원,22,22,-,0,0,0,449,-,-,-,-,-,-,-,-,-,1,-,-,14,-
경기,계,"46,800","46,430",218,15,39,98,"45,903","5,483","6,152",535,"10,048","1,076",199,33,52,"1,557","1,958",5,308,"21,867",408
경기,상급종합병원,"7,157","7,137",15,-,-,5,164,657,562,5,70,94,10,4,2,53,11,3,8,"2,426",31
경기,종합병원,"19,969","19,871",68,3,15,12,"3,159","2,036","1,748",15,233,390,71,24,10,227,228,2,36,"8,685",87
경기,병원,"7,238","7,207",7,0,21,3,"4,897",677,995,2,44,145,38,1,8,379,490,0,9,"3,172",41
경기,요양병원,"6,114","6,066",21,1,0,26,"5,670",96,317,0,2,323,7,0,2,631,760,0,0,"2,547",3
경기,정신병원,676,659,-,0,0,17,513,24,23,0,0,7,4,0,2,89,114,-,-,538,208
경기,의원,"3,919","3,788",102,7,3,19,"20,429","1,855","2,324",0,15,63,19,4,22,50,183,0,251,"3,227",34
경기,치과병원,7,7,-,-,-,0,52,2,5,53,542,2,12,-,-,2,1,-,-,150,-
경기,치과의원,89,85,3,1,0,0,"5,024",4,1,460,"9,021",16,6,0,5,0,1,0,4,496,0
경기,보건소,338,325,-,3,-,10,163,112,63,-,67,4,-,-,-,12,-,-,-,-,-
경기,보건지소,62,62,-,-,-,-,112,5,6,-,52,-,-,-,-,2,-,-,-,2,1
경기,보건진료소,160,160,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경기,보건의료원,29,28,-,-,-,1,3,4,4,-,2,0,-,-,-,-,-,-,-,-,-
경기,약국,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,5,-
경기,한방병원,719,714,0,0,0,5,789,11,104,-,-,27,22,-,1,108,157,-,-,431,3
경기,한의원,323,321,2,0,0,0,"4,927",0,0,0,0,5,10,0,0,4,13,0,0,188,0
강원,계,"6,561","6,536",6,1,1,17,"5,168",653,756,69,"1,100",125,27,5,9,190,252,0,29,"2,614",68
강원,상급종합병원,"1,995","1,989",4,1,0,1,81,178,143,1,16,26,16,3,0,17,4,0,1,719,17
강원,종합병원,"2,102","2,101",0,0,1,0,433,193,198,0,15,31,3,2,2,35,65,0,1,759,11
강원,병원,808,808,-,0,0,0,555,103,134,1,32,25,1,-,3,54,62,-,-,458,6
강원,요양병원,431,431,0,-,-,0,380,12,22,0,2,20,-,-,0,50,62,-,-,239,1
강원,정신병원,151,143,-,-,-,8,92,8,9,-,-,1,-,-,-,12,12,-,-,51,31
강원,의원,634,631,2,-,0,1,"2,203",117,212,-,0,16,4,-,3,12,41,-,26,252,2
강원,치과병원,7,7,-,-,-,-,13,2,3,6,46,1,-,-,-,1,-,-,-,53,-
강원,치과의원,12,12,-,-,-,-,567,1,1,61,902,3,-,-,-,-,1,-,-,44,-
강원,보건소,139,135,-,-,-,4,100,32,24,-,30,-,-,-,-,5,-,-,1,3,-
강원,보건지소,67,66,-,-,-,1,126,2,2,-,53,-,-,-,-,-,-,-,-,1,-
강원,보건진료소,129,129,-,-,-,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-
강원,보건의료원,26,24,-,-,-,2,5,4,5,-,3,1,-,-,1,-,-,-,-,-,-
강원,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
강원,한방병원,21,21,-,-,-,-,30,1,3,-,-,1,0,-,-,4,5,-,-,21,-
강원,한의원,39,39,-,0,0,0,583,0,0,0,0,0,3,0,0,0,0,0,0,11,0
충북,계,"5,092","5,041",29,0,4,18,"6,786",697,830,61,"1,309",158,33,5,5,206,296,0,47,"3,464",58
충북,상급종합병원,936,935,0,0,0,1,72,99,77,-,5,13,7,3,0,9,3,-,-,797,6
충북,종합병원,"1,953","1,947",4,0,2,0,723,264,235,0,56,45,3,2,1,38,77,0,2,"1,376",8
충북,병원,673,659,11,-,0,3,613,91,112,-,3,28,13,-,-,52,62,-,3,423,6
충북,요양병원,583,578,5,0,0,0,785,21,39,0,0,40,0,0,0,68,86,0,0,284,1
충북,정신병원,138,133,4,0,0,1,89,4,4,-,-,5,-,-,-,18,20,-,-,58,31
충북,의원,340,331,5,-,2,2,"2,955",185,325,-,0,15,4,-,2,8,32,-,42,333,3
충북,치과병원,0,-,0,-,-,-,5,1,-,5,90,-,-,-,-,-,-,-,-,10,-
충북,치과의원,11,11,-,-,-,-,583,-,0,56,"1,066",6,2,-,1,-,-,-,-,62,0
충북,조산원,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
