시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"53,862","53,543",172,13,51,83,"37,903","6,457","7,006",702,"10,539","1,096",219,70,57,"1,052","1,073",44,620,"25,566",289
서울,상급종합병원,"23,226","23,101",101,1,0,23,825,"2,383","2,069",30,143,347,141,27,17,227,45,41,36,"9,361",116
서울,종합병원,"14,656","14,604",39,1,3,9,"1,875","1,460","1,302",20,180,300,51,28,10,166,98,3,24,"5,794",46
서울,병원,"6,058","5,972",2,1,45,38,"3,218",572,872,9,65,157,5,2,10,277,387,0,64,"2,768",70
서울,요양병원,"3,094","3,092",2,0,0,0,"1,635",31,125,0,7,145,0,0,4,247,291,0,0,703,4
서울,의원,"5,003","4,956",28,10,3,6,"20,849","1,838","2,432",0,7,112,21,9,14,68,171,0,496,"5,835",49
서울,치과병원,46,46,-,-,-,-,90,7,28,98,818,4,-,-,0,3,2,-,-,209,-
서울,치과의원,138,134,-,0,0,4,"4,230",2,9,545,"9,312",8,1,0,2,0,0,0,0,309,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,678,678,0,-,-,0,417,16,72,-,0,16,-,-,-,56,64,-,-,371,4
서울,한의원,301,298,0,0,0,3,"4,762",1,1,0,1,7,0,0,0,3,15,0,0,211,0
부산,계,"18,546","18,443",18,12,39,34,"18,288","1,941","2,110",303,"2,598",523,91,25,17,703,967,7,202,"7,445",158
부산,상급종합병원,"4,568","4,557",6,1,0,4,259,415,374,3,42,67,23,10,3,24,22,6,5,"1,864",16
부산,종합병원,"6,410","6,393",4,2,5,6,"1,382",610,497,3,84,106,62,13,5,83,88,1,9,"2,476",33
부산,병원,"3,442","3,403",0,0,27,12,"2,786",348,424,1,12,84,2,0,2,205,285,0,62,"1,555",13
부산,요양병원,"3,052","3,043",5,0,-,4,"4,770",61,151,-,1,200,-,-,4,353,470,-,-,587,86
부산,의원,645,632,3,0,5,5,"5,752",454,609,2,0,34,4,2,2,25,86,0,126,618,10
부산,치과병원,4,3,-,-,1,-,41,0,4,61,388,3,-,-,-,-,0,-,-,144,-
부산,치과의원,31,30,-,-,1,-,"1,552",1,6,233,"2,062",19,-,-,-,-,-,-,-,121,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,약국,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
부산,한방병원,136,136,-,-,-,-,133,3,13,-,-,5,-,-,-,12,14,-,-,21,-
부산,한의원,55,55,-,0,0,0,"1,599",-,-,-,-,3,-,-,-,-,2,-,-,59,-
인천,계,"11,947","11,860",63,0,21,3,"11,694","1,274","1,410",85,"1,803",269,22,10,6,351,497,2,161,"4,886",98
인천,상급종합병원,"4,199","4,179",7,-,13,0,281,322,284,7,34,68,17,7,1,26,6,2,10,569,15
인천,종합병원,"3,723","3,709",8,0,4,2,"1,100",375,300,1,50,61,4,2,1,52,63,0,64,"2,258",19
인천,병원,"1,730","1,726",0,0,4,0,"1,304",148,207,0,8,36,0,0,0,92,130,0,44,692,49
인천,요양병원,"1,329","1,303",26,0,0,0,"1,375",14,69,0,0,77,0,0,0,133,173,0,0,453,8
인천,의원,624,602,22,0,0,0,"4,706",386,500,0,4,13,1,1,2,13,70,0,43,587,6
인천,치과병원,1,1,0,-,-,-,14,-,1,5,141,-,-,-,1,1,1,-,-,47,-
인천,치과의원,23,23,-,-,-,-,"1,570",1,5,72,"1,549",5,-,-,1,-,-,-,-,120,-
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,24,24,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,135,135,-,-,-,0,243,3,28,-,-,5,-,-,-,33,49,-,0,120,1
인천,한의원,55,55,-,0,0,0,"1,055",-,-,-,-,4,-,-,-,-,5,-,-,40,-
