시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"54,186","53,864",175,13,50,84,"38,079","6,473","7,033",687,"10,628","1,107",249,69,58,"1,051","1,088",44,659,"26,103",294
서울,상급종합병원,"23,440","23,314",102,1,0,23,822,"2,382","2,082",31,142,347,143,27,17,225,47,41,36,"9,279",118
서울,종합병원,"14,711","14,658",40,1,3,9,"1,878","1,468","1,306",20,179,304,51,28,10,165,102,3,24,"5,788",47
서울,병원,"6,061","5,975",2,1,44,39,"3,202",569,872,9,62,158,23,2,10,278,388,0,65,"2,771",72
서울,요양병원,"3,120","3,118",2,0,0,0,"1,652",31,127,0,7,150,0,0,4,248,297,0,0,695,4
서울,의원,"5,030","4,982",29,10,3,6,"21,049","1,851","2,439",0,7,112,21,8,15,66,166,0,534,"6,429",49
서울,치과병원,45,45,-,-,-,-,89,7,28,98,837,4,-,-,0,3,2,-,-,224,-
서울,치과의원,135,131,-,0,0,4,"4,210",2,7,529,"9,387",9,1,0,2,0,0,0,0,320,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,684,684,0,-,-,0,431,15,75,-,0,17,10,-,-,58,71,-,-,382,4
서울,한의원,298,295,0,0,0,3,"4,744",1,1,0,1,6,0,0,0,3,15,0,0,210,0
부산,계,"18,643","18,543",16,12,39,33,"18,238","1,945","2,119",303,"2,620",526,92,25,17,707,980,7,203,"7,516",155
부산,상급종합병원,"4,605","4,594",6,1,0,4,259,416,376,3,42,67,23,10,3,24,22,6,5,"1,864",16
부산,종합병원,"6,424","6,409",2,2,5,6,"1,379",612,498,3,85,107,62,13,5,83,88,1,9,"2,495",33
부산,병원,"3,460","3,421",0,0,27,12,"2,784",350,430,1,12,86,2,0,2,206,291,0,62,"1,562",13
부산,요양병원,"3,052","3,044",5,0,-,3,"4,706",61,149,-,1,202,-,-,4,352,471,-,-,608,83
부산,의원,658,645,3,0,5,5,"5,772",451,610,2,0,34,5,2,2,25,87,0,127,646,10
부산,치과병원,4,3,-,-,1,-,43,0,4,60,386,3,-,-,-,-,0,-,-,125,-
부산,치과의원,31,30,-,-,1,-,"1,536",1,5,234,"2,085",19,-,-,-,-,-,-,-,134,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,한방병원,151,151,-,-,-,-,142,5,15,-,-,5,-,-,-,16,19,-,-,21,-
부산,한의원,55,55,-,0,0,0,"1,603",-,-,-,-,3,-,-,-,-,2,-,-,61,-
인천,계,"12,062","11,968",70,0,21,3,"11,707","1,282","1,429",84,"1,830",273,22,10,6,351,508,2,161,"4,974",99
인천,상급종합병원,"4,199","4,179",7,-,13,0,281,322,284,7,34,68,17,7,1,26,6,2,10,569,15
인천,종합병원,"3,765","3,751",8,0,4,2,"1,084",379,310,1,50,61,4,2,1,52,65,0,64,"2,263",19
인천,병원,"1,776","1,772",0,0,4,0,"1,303",150,206,0,8,40,0,0,0,95,137,0,44,734,49
인천,요양병원,"1,349","1,324",25,0,0,0,"1,401",14,69,0,0,77,0,0,0,130,173,0,0,472,8
인천,의원,630,600,30,0,0,0,"4,703",388,508,0,4,13,1,1,2,13,70,0,43,593,6
인천,치과병원,1,1,0,-,-,-,13,-,1,5,139,-,-,-,1,1,1,-,-,51,-
인천,치과의원,23,23,-,-,-,-,"1,575",1,5,71,"1,578",5,-,-,1,-,-,-,-,121,1
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,24,24,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,139,139,-,-,-,0,251,3,30,-,-,5,-,-,-,33,51,-,0,131,1
인천,한의원,52,52,-,0,0,0,"1,050",-,-,-,-,4,-,-,-,-,5,-,-,40,-
대구,계,"12,684","12,648",19,1,1,15,"10,077","1,525","1,619",198,"2,319",256,77,17,11,381,620,26,48,"6,090",127
대구,상급종합병원,"4,615","4,606",9,0,0,0,600,476,389,6,21,50,42,13,4,34,62,24,1,"3,084",33
대구,종합병원,"2,123","2,117",5,1,-,0,505,172,165,1,30,35,29,2,1,33,39,2,3,802,7
대구,병원,"3,496","3,486",0,0,1,9,"1,625",257,360,0,7,70,2,2,3,161,264,-,14,"1,228",74
대구,요양병원,"1,319","1,315",2,0,0,2,"1,384",43,67,0,0,72,0,0,1,135,191,0,0,433,6
대구,의원,920,917,3,0,0,-,"4,075",551,614,-,1,18,4,-,2,13,60,-,30,329,6
대구,치과병원,5,5,-,-,-,-,10,-,5,17,347,1,-,-,-,-,-,-,-,89,-
대구,치과의원,8,8,-,-,-,-,608,1,-,174,"1,898",3,-,-,-,-,-,-,-,56,-
대구,보건소,101,98,-,-,-,3,10,23,14,-,13,-,-,-,-,3,-,-,-,-,-
대구,보건지소,7,7,-,-,-,-,19,-,-,-,2,-,-,-,-,1,-,-,-,-,-
대구,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
대구,한방병원,56,56,-,-,-,-,24,1,5,-,-,3,-,-,-,1,4,-,-,9,-
대구,한의원,26,25,-,0,0,1,"1,217",1,0,0,0,4,0,0,0,0,0,0,0,58,1
광주,계,"9,091","9,046",10,1,1,33,"7,872",951,"1,026",134,"1,941",171,11,6,14,454,639,6,65,"3,899",85
광주,상급종합병원,"1,912","1,910",0,0,0,2,98,122,126,4,6,29,5,5,3,14,14,6,0,290,4
광주,종합병원,"3,228","3,222",2,1,1,2,505,252,252,0,20,53,2,1,4,48,70,0,1,"1,131",13
광주,병원,"1,643","1,640",3,0,-,0,"1,133",163,208,-,-,29,-,-,3,130,171,-,29,989,15
