시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"51,444","51,119",182,13,47,83,"33,256","6,027","6,559",690,"10,414","1,015",198,83,56,"1,005","1,018",40,182,"14,663",283
서울,상급종합병원,"22,856","22,734",104,1,0,17,606,"2,265","2,019",30,147,318,130,30,16,211,45,37,36,"6,997",115
서울,종합병원,"13,370","13,315",42,1,3,9,"1,723","1,384","1,225",23,184,277,48,35,10,161,98,3,23,"4,516",46
서울,병원,"5,806","5,724",3,1,40,38,"2,815",516,813,9,64,152,6,5,10,276,358,0,20,"1,198",70
서울,요양병원,"2,986","2,984",2,0,0,0,"1,535",32,121,0,7,138,0,0,4,243,293,0,0,462,4
서울,의원,"4,721","4,668",31,10,4,8,"17,070","1,665","2,186",0,6,95,14,9,14,56,149,0,103,711,44
서울,치과병원,46,46,-,-,-,-,89,7,28,98,810,4,-,-,0,3,2,-,-,188,-
서울,치과의원,139,135,-,0,0,4,"4,262",2,9,530,"9,189",8,0,0,2,0,0,0,0,267,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,551,550,0,-,-,1,348,8,61,-,0,16,-,-,-,46,61,-,-,114,4
서울,한의원,307,301,0,0,0,6,"4,806",1,1,0,1,7,0,0,0,4,12,0,0,205,0
부산,계,"18,449","18,346",18,11,39,35,"17,807","1,871","1,999",301,"2,568",527,95,25,18,697,957,7,127,"4,687",153
부산,상급종합병원,"4,570","4,559",6,1,0,4,255,407,374,3,41,68,23,10,3,24,22,6,5,775,15
부산,종합병원,"6,397","6,382",3,1,5,6,"1,385",608,496,3,86,104,67,13,5,83,87,1,9,"2,139",34
부산,병원,"3,360","3,321",0,0,27,12,"2,575",321,395,1,12,86,1,0,3,195,266,0,30,860,12
부산,요양병원,"3,069","3,060",6,0,-,3,"4,882",65,155,-,1,203,-,-,4,356,479,-,-,414,88
부산,의원,620,605,3,0,5,7,"5,375",417,525,2,0,34,4,2,2,26,89,0,83,173,4
부산,치과병원,4,3,-,-,1,-,42,0,6,62,383,3,-,-,-,-,0,-,-,143,-
부산,치과의원,33,32,-,-,1,-,"1,566",1,5,230,"2,036",18,-,-,-,-,-,-,-,125,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,약국,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
부산,한방병원,135,135,-,-,-,-,109,3,11,-,-,6,-,-,-,12,12,-,-,-,-
부산,한의원,58,58,-,0,0,0,"1,604",-,-,-,-,3,-,-,-,-,2,-,-,58,-
인천,계,"11,618","11,533",61,0,21,3,"10,908","1,256","1,381",86,"1,740",242,22,10,6,343,491,2,51,"4,035",97
인천,상급종합병원,"4,066","4,045",8,-,13,0,272,316,285,7,35,51,17,7,1,24,6,2,10,569,15
인천,종합병원,"3,663","3,649",8,0,4,2,"1,081",383,304,2,46,61,4,2,1,52,58,0,8,"2,202",19
인천,병원,"1,736","1,726",6,0,4,0,"1,271",137,202,-,8,30,-,-,0,90,125,-,19,520,48
인천,요양병원,"1,288","1,268",20,0,0,0,"1,312",16,68,0,0,75,0,0,0,130,180,0,0,355,9
인천,의원,539,520,19,0,0,0,"4,076",376,474,0,7,11,1,1,2,13,68,0,14,118,6
인천,치과병원,1,1,0,-,-,-,15,-,1,5,137,0,-,-,1,1,1,-,-,47,-
인천,치과의원,23,23,-,-,-,-,"1,552",1,4,72,"1,490",5,-,-,1,-,-,-,-,100,-
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,24,24,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,120,120,-,-,-,0,226,2,27,-,-,5,-,-,-,32,48,-,0,89,-
인천,한의원,54,54,-,0,0,0,"1,057",-,-,-,-,4,-,-,-,-,5,-,-,35,-
대구,계,"12,505","12,471",16,1,2,15,"9,729","1,448","1,557",196,"2,279",246,68,16,10,370,599,26,46,"5,532",126
대구,상급종합병원,"4,614","4,606",8,0,0,0,600,470,387,6,21,50,42,13,4,34,62,24,1,"3,084",33
