시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"49,372","49,064",175,15,46,72,"32,342","5,860","6,425",691,"10,376",992,190,83,55,972,"1,002",40,172,"13,141",273
서울,상급종합병원,"21,370","21,244",103,1,0,22,543,"2,205","2,003",31,157,315,125,30,16,208,48,37,36,"6,975",106
서울,종합병원,"13,196","13,153",39,1,3,0,"1,671","1,327","1,168",25,174,268,42,36,10,151,93,3,21,"3,527",41
서울,병원,"5,515","5,437",3,3,39,33,"2,672",481,778,10,57,145,5,4,10,266,349,0,19,766,75
서울,요양병원,"2,960","2,959",1,0,0,0,"1,527",33,119,0,7,135,0,0,4,236,293,0,0,445,4
서울,의원,"4,658","4,607",29,10,4,8,"17,016","1,650","2,170",0,5,96,18,9,13,56,149,0,96,680,43
서울,치과병원,41,41,-,-,-,-,107,7,25,93,820,3,-,-,0,3,3,-,-,183,-
서울,치과의원,139,135,-,0,0,4,"4,278",2,9,532,"9,149",8,0,0,2,0,0,0,0,262,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,537,536,0,-,-,1,324,7,56,-,0,15,-,-,-,43,56,-,-,126,4
서울,한의원,294,290,0,0,0,4,"4,202",1,1,0,1,7,0,0,0,4,11,0,0,172,0
부산,계,"18,224","18,112",18,11,42,41,"17,453","1,861","1,983",279,"2,565",525,95,26,17,698,967,7,92,"4,170",151
부산,상급종합병원,"4,570","4,559",6,1,0,4,255,406,375,3,41,68,23,10,3,24,22,6,4,777,15
부산,종합병원,"6,236","6,221",3,1,5,6,"1,227",598,491,3,84,99,67,13,5,83,89,1,9,"1,927",32
부산,병원,"3,293","3,250",0,0,30,13,"2,579",332,397,1,12,87,2,1,3,195,274,0,30,684,12
부산,요양병원,"3,075","3,067",6,0,-,2,"4,893",66,154,-,1,204,-,-,4,356,481,-,-,408,88
부산,의원,623,602,3,0,5,13,"5,336",406,514,2,0,34,3,2,1,27,86,-,49,147,4
부산,치과병원,7,6,-,-,1,-,47,0,4,39,386,4,-,-,-,-,1,-,-,59,-
부산,치과의원,34,33,-,-,1,-,"1,571",1,5,231,"2,032",18,-,-,-,-,-,-,-,125,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,약국,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
